code,lat,lon,type
ES0010R,42.3191737364928,3.31582774471254,F – Fons
ES0014R,41.393887,0.7347215,F – Fons
ES0584A,41.482016279,2.188296656,S - Suburbana
ES0694A,41.392157459,2.009802277,S - Suburbana
ES1018A,41.556115398,2.007401267,U - Urbana
ES1123A,41.155004,1.217734,S - Suburbana
ES1125A,41.730280261,1.825306423,U - Urbana
ES1126A,41.475573452,1.923189624,S - Suburbana
ES1135A,41.578396,1.623011,S - Suburbana
ES1148A,41.425620904,2.222244805,U - Urbana
ES1201A,42.391975687,2.842138412,R - Rural
ES1208A,41.150778895,1.120171923,S - Suburbana
ES1215A,40.706708761,0.581651482,S - Suburbana
ES1222A,41.691273195,2.440944864,R - Rural
ES1225A,41.615794867,0.615725897,U - Urbana
ES1231A,41.476769365,2.088977264,U - Urbana
ES1248A,42.405378523,1.129930371,R - Rural
ES1262A,41.561264,2.101288,U - Urbana
ES1275A,41.689049442,2.495746675,S - Suburbana
ES1310A,42.311957,2.213146,R - Rural
ES1311A,41.958676874,3.212854412,R - Rural
ES1339A,41.219036461,1.721248774,S - Suburbana
ES1347A,42.143260622,2.510206967,R - Rural
ES1348A,42.36839,1.776814,R - Rural
ES1379A,41.058203798,0.439711691,R - Rural
ES1397A,42.003359222,2.287072698,S - Suburbana
ES1438A,41.385366,2.15403,U - Urbana
ES1480A,41.398762,2.153472,U - Urbana
ES1588A,41.906647654,1.192974755,R - Rural
ES1642A,41.93501,2.239901,S - Suburbana
ES1666A,41.117387934,1.241649688,U - Urbana
ES1679A,41.386413934,2.187416735,U - Urbana
ES1684A,41.492082863,2.042497085,U - Urbana
ES1754A,40.643004752,0.288445976,R - Rural
ES1773A,41.20223184,1.672200024,S - Suburbana
ES1778A,41.779343452,2.358018901,R - Rural
ES1812A,41.278381095,1.179916582,R - Rural
ES1813A,41.100692784,0.755100288,R - Rural
ES1815A,41.346823038,1.686575492,S - Suburbana
ES1816A,41.547159712,2.443253787,U - Urbana
ES1851A,42.097931,1.848338,S - Suburbana
ES1856A,41.4260772,2.147992032,U - Urbana
ES1891A,41.598666901,2.287117688,U - Urbana
ES1892A,41.443983561,2.237875306,U - Urbana
ES1903A,41.313475208,2.013824628,S - Suburbana
ES1910A,41.303112534,1.991523957,S - Suburbana
ES1923A,41.846711554,2.217443537,R - Rural
ES1982A,42.051340687,0.729555647,R - Rural
ES1983A,41.321768405,2.082140639,S - Suburbana
ES1992A,41.387273,2.115661,U - Urbana
ES2034A,41.544104651,0.829933196,R - Rural
ES2090A,41.418413,2.123899,S - Suburbana
ES2109A,41.1022222222,1.14944444444,S - Suburbana
